generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
247000,L_virgatum,A_pubescens,0,0.25708,0.00161816,0.223669,0
248000,L_virgatum,A_pubescens,0,0.119451,0.0239217,0.128104,0
249000,L_virgatum,A_pubescens,0,0.110052,0.0502082,0.138101,0
250000,L_virgatum,A_pubescens,0,0.120205,0.05909,0.148136,0
251000,L_virgatum,A_pubescens,0,0.0956805,0.0356872,0.10764,0
252000,L_virgatum,A_pubescens,0,0.129859,0.102441,0.211991,0
253000,L_virgatum,A_pubescens,0,0.161477,0.00824045,0.131365,0
254000,L_virgatum,A_pubescens,0,0.109673,0.0339233,0.118178,0
254000,A_pubescens,NA,47.6582,0.0393589,0.00412627,0.295076,0
255000,L_virgatum,A_pubescens,0,0.13801,0.0256561,0.155264,0
256000,L_virgatum,A_pubescens,0,0.268008,-0.000490414,0.219519,0
257000,L_virgatum,A_pubescens,0,0.114026,0.0792615,0.117859,0
258000,L_virgatum,A_pubescens,0,0.212878,0.00279797,0.169164,0
259000,L_virgatum,A_pubescens,0,0.110008,0.073524,0.145941,0
260000,L_virgatum,A_pubescens,0,0.0965614,0.0419933,0.0931564,0
261000,L_virgatum,A_pubescens,0,0.141205,0.0360182,0.19264,0
262000,L_virgatum,A_pubescens,0,0.143502,0.0589058,0.223991,0
263000,L_virgatum,A_pubescens,0,0.107043,0.0452641,0.170319,0
264000,L_virgatum,A_pubescens,0,0.13482,0.0518991,0.214898,0
265000,L_virgatum,A_pubescens,0,0.129197,0.0382706,0.138761,0
266000,L_virgatum,A_pubescens,0,0.154955,0.0775253,0.267196,0
266000,T_sinensis,NA,55.8762,0.158356,-0.0681413,0.663334,0
267000,L_virgatum,A_pubescens,0,0.164808,0.00888613,0.153354,0
268000,L_virgatum,A_pubescens,0,0.194297,0.00349652,0.169007,0
269000,L_virgatum,A_pubescens,0,0.111074,0.0270553,0.124343,0
270000,L_virgatum,A_pubescens,0,0.136672,0.0302597,0.156787,0
271000,L_virgatum,A_pubescens,0,0.17364,0.00810879,0.14497,0
272000,L_virgatum,A_pubescens,0,0.218407,0.00678984,0.214696,0
273000,L_virgatum,A_pubescens,0,0.123974,0.0212112,0.131813,0
274000,L_virgatum,A_pubescens,0,0.0897149,0.0593283,0.103176,0
275000,L_virgatum,A_pubescens,0,0.101036,0.0266528,0.0906756,0
276000,L_virgatum,A_pubescens,0,0.118981,0.0208813,0.105036,0
277000,L_virgatum,A_pubescens,0,0.352411,-0.0042874,0.25308,0
278000,L_virgatum,A_pubescens,0,0.121595,0.0338729,0.145586,0
279000,L_virgatum,A_pubescens,0,0.112842,0.0436995,0.133511,0
280000,L_virgatum,A_pubescens,0,0.168558,0.00590458,0.139728,0
281000,L_virgatum,A_pubescens,0,0.228996,0.00488686,0.229261,0
282000,L_virgatum,A_pubescens,0,0.257324,0.00967363,0.259647,0
283000,L_virgatum,A_pubescens,0,0.351641,-0.000259429,0.305741,0
284000,L_virgatum,A_pubescens,0,0.18439,0.00868327,0.147134,0
284000,A_pubescens,Re_indica,17.814,0.0139177,0.0151644,0.0442257,0
285000,L_virgatum,A_pubescens,0,0.170408,0.0120905,0.189071,0
285000,A_pubescens,Re_indica,5.37357,0.0566493,-0.0179576,0.0328763,0
286000,L_virgatum,A_pubescens,0,0.119406,0.0397486,0.138125,0
287000,L_virgatum,A_pubescens,0,0.122455,0.0387761,0.160104,0
288000,L_virgatum,A_pubescens,0,0.117707,0.0492749,0.165709,0
289000,L_virgatum,A_pubescens,0,0.163067,0.00314479,0.167805,0
290000,L_virgatum,A_pubescens,0,0.214866,-0.00378128,0.0906845,0
291000,L_virgatum,A_pubescens,0,0.17155,0.00679748,0.142102,0
292000,L_virgatum,A_pubescens,0,0.194981,0.0063084,0.197232,0
293000,L_virgatum,A_pubescens,0,0.178474,0.00577154,0.14561,0
294000,L_virgatum,A_pubescens,0,0.122189,0.137714,0.162886,0
295000,L_virgatum,A_pubescens,0,0.123126,0.0189337,0.11549,0
296000,L_virgatum,A_pubescens,0,0.0776394,0.0965718,0.0905581,0
297000,L_virgatum,A_pubescens,0,0.130847,0.0399023,0.190589,0
298000,L_virgatum,A_pubescens,0,0.181578,0.00480583,0.166208,0
299000,L_virgatum,A_pubescens,0,0.121146,0.0274259,0.135874,0
300000,L_virgatum,A_pubescens,0,0.197375,0.0158554,0.228412,0
301000,L_virgatum,A_pubescens,0,0.126719,0.0373665,0.140792,0
302000,L_virgatum,A_pubescens,0,0.218927,0.00638425,0.216901,0
303000,L_virgatum,A_pubescens,0,0.19788,0.008778,0.178038,0
304000,L_virgatum,A_pubescens,0,0.157914,0.00367244,0.112926,0
305000,L_virgatum,A_pubescens,0,0.17065,0.00561862,0.14991,0
306000,L_virgatum,A_pubescens,0,0.137014,0.0120614,0.105651,0
307000,L_virgatum,A_pubescens,0,0.143979,0.0142998,0.158991,0
308000,L_virgatum,A_pubescens,0,0.0990472,0.046149,0.108064,0
309000,L_virgatum,A_pubescens,0,0.109195,0.0748351,0.141224,0
310000,L_virgatum,A_pubescens,0,0.116718,0.00863944,0.0792345,0
311000,L_virgatum,A_pubescens,0,0.149843,0.103442,0.249034,0
312000,L_virgatum,A_pubescens,0,0.0992133,0.0799067,0.113573,0
313000,L_virgatum,A_pubescens,0,0.193649,0.00285955,0.155015,0
314000,L_virgatum,A_pubescens,0,0.120877,0.0458962,0.147653,0
315000,L_virgatum,A_pubescens,0,0.103041,0.10659,0.156795,0
316000,L_virgatum,A_pubescens,0,0.184692,0.00233309,0.132354,0
317000,L_virgatum,A_pubescens,0,0.10956,0.0327648,0.107308,0
318000,L_virgatum,A_pubescens,0,0.0951798,0.0296253,0.0905878,0
319000,L_virgatum,A_pubescens,0,0.0897916,0.0463849,0.0769163,0
320000,L_virgatum,A_pubescens,0,0.128147,0.0164906,0.114957,0
321000,L_virgatum,A_pubescens,0,0.120371,0.0251629,0.106138,0
322000,L_virgatum,A_pubescens,0,0.150861,0.0793649,0.213016,0
323000,L_virgatum,A_pubescens,0,0.133715,0.0205271,0.142659,0
324000,L_virgatum,A_pubescens,0,0.132959,0.01987,0.133059,0
325000,L_virgatum,A_pubescens,0,0.186755,0.0224486,0.25029,0
326000,L_virgatum,A_pubescens,0,0.134708,0.0127584,0.118248,0
327000,L_virgatum,A_pubescens,0,0.122416,0.0728911,0.154467,0
328000,L_virgatum,A_pubescens,0,0.220214,0.00355066,0.156528,0
329000,L_virgatum,A_pubescens,0,0.212713,0.00394882,0.17298,0
330000,L_virgatum,A_pubescens,0,0.138787,0.0137612,0.102044,0
331000,L_virgatum,A_pubescens,0,0.077084,0.055709,0.0590163,0
332000,L_virgatum,A_pubescens,0,0.108936,0.0547954,0.122497,0
333000,L_virgatum,A_pubescens,0,0.12489,0.0328955,0.17531,0
334000,L_virgatum,A_pubescens,0,0.0930621,0.0241132,0.0631263,0
335000,L_virgatum,A_pubescens,0,0.181694,0.0610413,0.270802,0
336000,L_virgatum,A_pubescens,0,0.124534,0.0292048,0.14588,0
337000,L_virgatum,A_pubescens,0,0.129355,0.0730921,0.189165,0
338000,L_virgatum,A_pubescens,0,0.159481,0.0566018,0.239326,0
339000,L_virgatum,A_pubescens,0,0.130343,0.0436261,0.201764,0
340000,L_virgatum,A_pubescens,0,0.0949322,0.030009,0.0990392,0
341000,L_virgatum,A_pubescens,0,0.145497,0.0182278,0.152109,0
342000,L_virgatum,A_pubescens,0,0.176135,0.0114088,0.196488,0
343000,L_virgatum,A_pubescens,0,0.261884,-0.00229391,0.185287,0
344000,L_virgatum,A_pubescens,0,0.202343,0.0157786,0.255377,0
345000,L_virgatum,A_pubescens,0,0.18438,0.0330866,0.277745,0
346000,L_virgatum,A_pubescens,0,0.212116,-1.88477e-05,0.170473,0
347000,L_virgatum,A_pubescens,0,0.229447,0.00230719,0.186966,0
348000,L_virgatum,A_pubescens,0,0.142307,0.021731,0.133285,0
349000,L_virgatum,A_pubescens,0,0.14055,0.0293577,0.169966,0
350000,L_virgatum,A_pubescens,0,0.15119,0.0685553,0.27035,0
351000,L_virgatum,A_pubescens,0,0.135327,0.0952812,0.181374,0
352000,L_virgatum,A_pubescens,0,0.164796,0.0873457,0.265831,0
353000,L_virgatum,A_pubescens,0,0.127892,0.0471951,0.153572,0
353000,Re_indica,NA,55.0346,0.616664,0.13704,0.361907,0
